"","biosample_id","organism","subspecies","strain","host","host_taxid","isolation_source","env_local_scale","collected_by","geo_loc_name","collection_date","first_public","lat_lon","year","type","public.year"
"NZ_AP022031.1","SAMD00194426","Escherichia coli",NA,"WP3-S18-ESBL-07",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
"NZ_AP022033.1","SAMD00194427","Escherichia coli",NA,"WP3-S18-ESBL-08",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
"NZ_AP022037.1","SAMD00194428","Escherichia coli",NA,"WP3-S18-ESBL-09",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6684 N 139.4278 E",2018,"plasmid",NA
"NZ_AP022038.1","SAMD00194437","Aeromonas veronii",NA,"WP3-W19-ESBL-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2019-02-05",NA,"35.6684 N 139.4278 E",2019,"chromosome",NA
"NZ_AP022039.1","SAMD00194437","Aeromonas veronii",NA,"WP3-W19-ESBL-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2019-02-05",NA,"35.6684 N 139.4278 E",2019,"plasmid",NA
"NZ_AP022044.1","SAMD00194451","Escherichia coli",NA,"WP4-S17-ESBL-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.6514 N 139.4813 E",2017,"chromosome",NA
"NZ_AP022045.1","SAMD00194451","Escherichia coli",NA,"WP4-S17-ESBL-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.6514 N 139.4813 E",2017,"plasmid",NA
"NZ_AP022065.1","SAMD00194467","Escherichia coli",NA,"WP4-W18-ESBL-08",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6514 N 139.4813 E",2018,"plasmid",NA
"NZ_AP022070.1","SAMD00194468","Escherichia coli",NA,"WP4-W18-ESBL-09",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6514 N 139.4813 E",2018,"plasmid",NA
"NZ_AP022077.1","SAMD00194470","Acinetobacter baumannii",NA,"WP4-W18-ESBL-11",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6514 N 139.4813 E",2018,"chromosome",NA
"NZ_AP022078.1","SAMD00194474","Klebsiella pneumoniae",NA,"WP4-S18-CRE-04",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6514 N 139.4813 E",2018,"chromosome",NA
"NZ_AP022080.1","SAMD00194474","Klebsiella pneumoniae",NA,"WP4-S18-CRE-04",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6514 N 139.4813 E",2018,"plasmid",NA
"NZ_AP022081.1","SAMD00194474","Klebsiella pneumoniae",NA,"WP4-S18-CRE-04",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6514 N 139.4813 E",2018,"plasmid",NA
"NZ_AP022091.1","SAMD00194481","Escherichia coli",NA,"WP4-S18-ESBL-07",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6514 N 139.4813 E",2018,"plasmid",NA
"NZ_AP022096.1","SAMD00194482","Escherichia coli",NA,"WP4-S18-ESBL-08",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6514 N 139.4813 E",2018,"plasmid",NA
"NZ_AP022097.1","SAMD00194482","Escherichia coli",NA,"WP4-S18-ESBL-08",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6514 N 139.4813 E",2018,"plasmid",NA
"NZ_AP022098.1","SAMD00194483","Escherichia coli",NA,"WP4-S18-ESBL-09",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6514 N 139.4813 E",2018,"chromosome",NA
"NZ_AP022105.1","SAMD00194506","Escherichia coli",NA,"WP5-S17-ESBL-10",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.6538 N 139.5126 E",2017,"chromosome",NA
"NZ_AP022106.1","SAMD00194506","Escherichia coli",NA,"WP5-S17-ESBL-10",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.6538 N 139.5126 E",2017,"plasmid",NA
"NZ_AP022107.1","SAMD00194507","Escherichia coli",NA,"WP5-S17-ESBL-11",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.6538 N 139.5126 E",2017,"chromosome",NA
"NZ_AP022110.1","SAMD00194514","Aeromonas caviae",NA,"WP5-W18-ESBL-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6538 N 139.5126 E",2018,"chromosome",NA
"NZ_AP022115.1","SAMD00194518","Klebsiella quasipneumoniae",NA,"WP5-W18-ESBL-06",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6538 N 139.5126 E",2018,"plasmid",NA
"NZ_AP022121.1","SAMD00194523","Escherichia coli",NA,"WP5-W18-ESBL-11",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6538 N 139.5126 E",2018,"plasmid",NA
"NZ_AP022122.1","SAMD00194523","Escherichia coli",NA,"WP5-W18-ESBL-11",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6538 N 139.5126 E",2018,"plasmid",NA
"NZ_AP022128.1","SAMD00194526","Enterobacter cloacae",NA,"WP5-S18-CRE-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6538 N 139.5126 E",2018,"plasmid",NA
"NZ_AP022129.1","SAMD00194526","Enterobacter cloacae",NA,"WP5-S18-CRE-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6538 N 139.5126 E",2018,"plasmid",NA
"NZ_AP022134.1","SAMD00194528","Enterobacter cloacae",NA,"WP5-S18-ESBL-01",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6538 N 139.5126 E",2018,"plasmid",NA
"NZ_AP022139.1","SAMD00194529","Klebsiella pneumoniae",NA,"WP5-S18-ESBL-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6538 N 139.5126 E",2018,"chromosome",NA
"NZ_AP022143.1","SAMD00194531","Klebsiella quasipneumoniae",NA,"WP5-S18-ESBL-05",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6538 N 139.5126 E",2018,"plasmid",NA
"NZ_AP022159.1","SAMD00194533","Escherichia coli",NA,"WP5-S18-ESBL-07",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6538 N 139.5126 E",2018,"chromosome",NA
"NZ_AP022162.1","SAMD00194534","Escherichia coli",NA,"WP5-S18-ESBL-08",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6538 N 139.5126 E",2018,"plasmid",NA
"NZ_AP022171.1","SAMD00194535","Escherichia coli",NA,"WP5-S18-ESBL-09",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6538 N 139.5126 E",2018,"chromosome",NA
"NZ_AP022172.1","SAMD00194535","Escherichia coli",NA,"WP5-S18-ESBL-09",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6538 N 139.5126 E",2018,"plasmid",NA
"NZ_AP022174.1","SAMD00194553","Escherichia coli",NA,"WP7-S17-ESBL-01",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.5619 N 139.7531 E",2017,"plasmid",NA
"NZ_AP022178.1","SAMD00194555","Escherichia coli",NA,"WP7-S17-ESBL-04",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.5619 N 139.7531 E",2017,"plasmid",NA
"NZ_AP022185.1","SAMD00194558","Klebsiella quasipneumoniae",NA,"WP7-S17-ESBL-08",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.5619 N 139.7531 E",2017,"plasmid",NA
"NZ_AP022206.1","SAMD00194576","Aeromonas hydrophila",NA,"WP7-S18-ESBL-06",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.5619 N 139.7531 E",2018,"chromosome",NA
"NZ_AP022207.1","SAMD00194579","Escherichia coli",NA,"WP7-S18-ESBL-09",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.5619 N 139.7531 E",2018,"chromosome",NA
"NZ_AP022208.1","SAMD00194579","Escherichia coli",NA,"WP7-S18-ESBL-09",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.5619 N 139.7531 E",2018,"plasmid",NA
"NZ_AP022214.1","SAMD00194595","Aeromonas caviae",NA,"WP8-S17-ESBL-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-08-23",NA,"35.6316 N 139.7460 E",2017,"chromosome",NA
"NZ_AP022218.1","SAMD00194597","Escherichia coli",NA,"WP8-S17-ESBL-05",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-08-23",NA,"35.6316 N 139.7460 E",2017,"plasmid",NA
"NZ_AP022221.1","SAMD00194600","Escherichia coli",NA,"WP8-S17-ESBL-08",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-08-23",NA,"35.6316 N 139.7460 E",2017,"chromosome",NA
"NZ_AP022223.1","SAMD00194604","Escherichia coli",NA,"WP8-S17-ESBL-12",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-08-23",NA,"35.6316 N 139.7460 E",2017,"plasmid",NA
"NZ_AP022224.1","SAMD00194604","Escherichia coli",NA,"WP8-S17-ESBL-12",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-08-23",NA,"35.6316 N 139.7460 E",2017,"plasmid",NA
"NZ_AP022228.1","SAMD00194608","Enterobacter cloacae",NA,"WP8-W18-CRE-04",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6316 N 139.7460 E",2018,"chromosome",NA
"NZ_AP022229.1","SAMD00194608","Enterobacter cloacae",NA,"WP8-W18-CRE-04",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6316 N 139.7460 E",2018,"plasmid",NA
"NZ_AP022238.1","SAMD00194616","Acinetobacter baumannii",NA,"WP8-W18-ESBL-11",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6316 N 139.7460 E",2018,"chromosome",NA
"NZ_AP022241.1","SAMD00194620","Aeromonas caviae",NA,"WP8-S18-CRE-01",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"chromosome",NA
"NZ_AP022242.1","SAMD00194620","Aeromonas caviae",NA,"WP8-S18-CRE-01",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"plasmid",NA
"NZ_AP022243.1","SAMD00194620","Aeromonas caviae",NA,"WP8-S18-CRE-01",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"plasmid",NA
"NZ_AP022246.1","SAMD00194621","Escherichia coli",NA,"WP8-S18-CRE-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"plasmid",NA
"NZ_AP022248.1","SAMD00194621","Escherichia coli",NA,"WP8-S18-CRE-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"plasmid",NA
"NZ_AP022249.1","SAMD00194621","Escherichia coli",NA,"WP8-S18-CRE-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"plasmid",NA
"NZ_AP022252.1","SAMD00194624","Aeromonas hydrophila",NA,"WP8-S18-ESBL-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"chromosome",NA
"NZ_AP022253.1","SAMD00194624","Aeromonas hydrophila",NA,"WP8-S18-ESBL-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"plasmid",NA
"NZ_AP022254.1","SAMD00194626","Aeromonas caviae",NA,"WP8-S18-ESBL-04",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"chromosome",NA
"NZ_AP022255.1","SAMD00194626","Aeromonas caviae",NA,"WP8-S18-ESBL-04",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"plasmid",NA
"NZ_AP022263.1","SAMD00194629","Escherichia coli",NA,"WP8-S18-ESBL-07",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"plasmid",NA
"NZ_AP022264.1","SAMD00194633","Aeromonas veronii",NA,"WP8-S18-ESBL-11",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-08-06",NA,"35.6316 N 139.7460 E",2018,"chromosome",NA
"NZ_AP022277.1","SAMD00194638","Enterobacter cloacae",NA,"WP8-W19-CRE-02",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2019-02-05",NA,"35.6316 N 139.7460 E",2019,"plasmid",NA
"NZ_AP022281.1","SAMD00194639","Aeromonas veronii",NA,"WP8-W19-CRE-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2019-02-05",NA,"35.6316 N 139.7460 E",2019,"chromosome",NA
"NZ_AP022282.1","SAMD00194639","Aeromonas veronii",NA,"WP8-W19-CRE-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2019-02-05",NA,"35.6316 N 139.7460 E",2019,"plasmid",NA
"NZ_AP022283.1","SAMD00194639","Aeromonas veronii",NA,"WP8-W19-CRE-03",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2019-02-05",NA,"35.6316 N 139.7460 E",2019,"plasmid",NA
"NZ_AP022287.1","SAMD00194670","Escherichia coli",NA,"WP9-S17-ESBL-11",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.6305 N 139.7841 E",2017,"chromosome",NA
"NZ_AP022288.1","SAMD00194670","Escherichia coli",NA,"WP9-S17-ESBL-11",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2017-07-10",NA,"35.6305 N 139.7841 E",2017,"plasmid",NA
"NZ_AP022290.1","SAMD00194675","Aeromonas veronii",NA,"WP9-W18-ESBL-04",NA,NA,NA,"wastewater treatment plant",NA,"Japan:Tokyo","2018-02-13",NA,"35.6305 N 139.7841 E",2018,"chromosome",NA
"NZ_AP022296.1","SAMD00194704","Escherichia coli",NA,"BEC1-S17-ESBL-07",NA,NA,NA,"oceanic water",NA,"Japan:Tokyo","2017-07-10",NA,"35.6306 N 139.7754 E",2017,"plasmid",NA
"NZ_AP022298.1","SAMD00194706","Escherichia coli",NA,"BEC1-S17-ESBL-09",NA,NA,NA,"oceanic water",NA,"Japan:Tokyo","2017-07-10",NA,"35.6306 N 139.7754 E",2017,"chromosome",NA
"NZ_AP022389.1","SAMD00195867","Citrobacter portucalensis",NA,"STW0522-26",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"chromosome",NA
"NZ_AP022394.1","SAMD00195868","Citrobacter portucalensis",NA,"STW0522-27",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"chromosome",NA
"NZ_AP022395.1","SAMD00195868","Citrobacter portucalensis",NA,"STW0522-27",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"plasmid",NA
"NZ_AP022399.1","SAMD00195870","Citrobacter portucalensis",NA,"STW0522-30",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"chromosome",NA
"NZ_AP022400.1","SAMD00195870","Citrobacter portucalensis",NA,"STW0522-30",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"plasmid",NA
"NZ_AP022410.1","SAMD00195871","Escherichia coli",NA,"STW0522-31",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"plasmid",NA
"NZ_AP022415.1","SAMD00195879","Klebsiella quasipneumoniae",NA,"STW0522-39",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"plasmid",NA
"NZ_AP022433.1","SAMD00195891","Enterobacter kobei",NA,"STW0522-51",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"plasmid",NA
"NZ_AP022435.1","SAMD00195891","Enterobacter kobei",NA,"STW0522-51",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"plasmid",NA
"NZ_AP022449.1","SAMD00195900","Enterobacter kobei",NA,"STW0522-60",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"plasmid",NA
"NZ_AP022467.1","SAMD00195906","Enterobacter roggenkampii",NA,"STW0522-66",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"plasmid",NA
"NZ_AP022476.1","SAMD00195912","Pseudomonas monteilii",NA,"STW0522-72",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-05-22",NA,"missing",2018,"plasmid",NA
"NZ_AP022479.1","SAMD00195931","Escherichia coli",NA,"STN0717-11",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-07-17",NA,"missing",2018,"plasmid",NA
"NZ_AP022483.1","SAMD00195939","Escherichia coli",NA,"STN0717-20",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-07-17",NA,"missing",2018,"plasmid",NA
"NZ_AP022486.1","SAMD00195946","Citrobacter portucalensis",NA,"STN0717-27",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-07-17",NA,"missing",2018,"chromosome",NA
"NZ_AP022494.1","SAMD00195955","Citrobacter portucalensis",NA,"STN0717-36",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-07-17",NA,"missing",2018,"chromosome",NA
"NZ_AP022495.1","SAMD00195955","Citrobacter portucalensis",NA,"STN0717-36",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-07-17",NA,"missing",2018,"plasmid",NA
"NZ_AP022501.1","SAMD00195972","Enterobacter kobei",NA,"STN0717-53",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-07-17",NA,"missing",2018,"plasmid",NA
"NZ_AP022511.1","SAMD00195982","Enterobacter hormaechei",NA,"STN0717-64",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-07-17",NA,"missing",2018,"plasmid",NA
"NZ_AP022513.1","SAMD00195990","Citrobacter portucalensis",NA,"STN0717-72",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-07-17",NA,"missing",2018,"chromosome",NA
"NZ_AP022514.1","SAMD00195990","Citrobacter portucalensis",NA,"STN0717-72",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-07-17",NA,"missing",2018,"plasmid",NA
"NZ_AP022520.1","SAMD00195991","Enterobacter cloacae",NA,"STN0717-73",NA,NA,NA,"hospital sewage tank",NA,"Japan:Tokyo","2018-07-17",NA,"missing",2018,"plasmid",NA
"NZ_AP022525.1","SAMD00196001","Escherichia coli",NA,"THO-003","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-05-09",NA,"missing",2018,"chromosome",NA
"NZ_AP022527.1","SAMD00196002","Klebsiella pneumoniae",NA,"THO-004","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-05-18",NA,"missing",2018,"chromosome",NA
"NZ_AP022529.1","SAMD00196002","Klebsiella pneumoniae",NA,"THO-004","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-05-18",NA,"missing",2018,"plasmid",NA
"NZ_AP022535.1","SAMD00196004","Escherichia coli",NA,"THO-006","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-06-04",NA,"missing",2018,"plasmid",NA
"NZ_AP022537.1","SAMD00196006","Escherichia coli",NA,"THO-008","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-06-07",NA,"missing",2018,"plasmid",NA
"NZ_AP022540.1","SAMD00196008","Escherichia coli",NA,"THO-010","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-06-20",NA,"missing",2018,"chromosome",NA
"NZ_AP022541.1","SAMD00196008","Escherichia coli",NA,"THO-010","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-06-20",NA,"missing",2018,"plasmid",NA
"NZ_AP022543.1","SAMD00196008","Escherichia coli",NA,"THO-010","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-06-20",NA,"missing",2018,"plasmid",NA
"NZ_AP022548.1","SAMD00196009","Klebsiella michiganensis",NA,"THO-011","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-07-05",NA,"missing",2018,"plasmid",NA
"NZ_AP022550.1","SAMD00196013","Escherichia coli",NA,"THO-015","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-07-12",NA,"missing",2018,"plasmid",NA
"NZ_AP022551.1","SAMD00196013","Escherichia coli",NA,"THO-015","Homo sapiens",NA,NA,"missing",NA,"Japan:Tokyo","2018-07-12",NA,"missing",2018,"plasmid",NA
"NZ_AP022811.1","SAMD00197816","Escherichia coli",NA,"JE86-ST02","Homo sapiens",NA,NA,"not applicable",NA,"Japan","1999",NA,"not collected",1999,"chromosome",NA
"NZ_AP022815.1","SAMD00197820","Escherichia coli",NA,"JE86-ST05","Homo sapiens",NA,NA,"not applicable",NA,"Japan","2014",NA,"not collected",2014,"chromosome",NA
"NZ_AP022628.1","SAMD00197875","Enterobacter asburiae",NA,"A2563","Homo sapiens",NA,NA,"missing",NA,"Japan:Saitama","2018",NA,"missing",2018,"chromosome",NA
"NZ_AP022651.1","SAMD00198301","Escherichia coli",NA,"09-02E","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Thai Binh","2018-10-10",NA,"20.445128 N 106.337870 E",2018,"plasmid",NA
"NZ_AP022326.1","SAMD00199041","Escherichia coli O25:H4",NA,"18044","Homo sapiens",NA,NA,"missing",NA,"Japan","2018",NA,"missing",2018,"chromosome",NA
"NZ_AP022327.1","SAMD00199041","Escherichia coli O25:H4",NA,"18044","Homo sapiens",NA,NA,"missing",NA,"Japan","2018",NA,"missing",2018,"plasmid",NA
"NZ_AP022378.1","SAMD00201481","Citrobacter portucalensis",NA,"IOMTU157","Homo sapiens",NA,NA,"missing",NA,"Nepal:Kathmandu","2012",NA,"27.6 N 85.5 E",2012,"chromosome",NA
"NZ_AP023051.1","SAMD00201481","Citrobacter portucalensis",NA,"IOMTU157","Homo sapiens",NA,NA,"missing",NA,"Nepal:Kathmandu","2012",NA,"27.6 N 85.5 E",2012,"plasmid",NA
"NZ_LC570844.1","SAMD00222502","Enterobacter hormaechei",NA,"MH17-539M","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2017",NA,"missing",2017,"plasmid",NA
"NZ_LC570845.1","SAMD00222503","Enterobacter hormaechei",NA,"NIHE14-1904","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2014",NA,"missing",2014,"plasmid",NA
"NZ_LC570846.1","SAMD00222503","Enterobacter hormaechei",NA,"NIHE14-1904","Homo sapiens",NA,NA,"not applicable",NA,"Viet Nam:Hanoi","2014",NA,"missing",2014,"plasmid",NA
"NZ_AP023148.1","SAMD00222555","Klebsiella pneumoniae",NA,"SMKP03","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Sapporo","2017-01",NA,"not applicable",2017,"chromosome",NA
"NZ_AP023150.1","SAMD00222555","Klebsiella pneumoniae",NA,"SMKP03","Homo sapiens",NA,NA,"not applicable",NA,"Japan:Sapporo","2017-01",NA,"not applicable",2017,"plasmid",NA
"NZ_AP023299.1","SAMD00234580","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4334","Bos taurus",NA,NA,"missing",NA,"Japan","2015",NA,"missing",2015,"chromosome",NA
"NZ_AP023300.1","SAMD00234603","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4445","Bos taurus",NA,NA,"missing",NA,"Japan","2014",NA,"missing",2014,"chromosome",NA
"NZ_AP023301.1","SAMD00234603","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4445","Bos taurus",NA,NA,"missing",NA,"Japan","2014",NA,"missing",2014,"plasmid",NA
"NZ_AP023303.1","SAMD00234616","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4526","Bos taurus",NA,NA,"missing",NA,"Japan","2015",NA,"missing",2015,"chromosome",NA
"NZ_AP023305.1","SAMD00234630","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4551","Bos taurus",NA,NA,"missing",NA,"Japan","2013",NA,"missing",2013,"plasmid",NA
"NZ_AP023306.1","SAMD00234645","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4567","Bos taurus",NA,NA,"missing",NA,"Japan","2014",NA,"missing",2014,"chromosome",NA
"NZ_AP023307.1","SAMD00234645","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4567","Bos taurus",NA,NA,"missing",NA,"Japan","2014",NA,"missing",2014,"plasmid",NA
"NZ_AP023310.1","SAMD00234655","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4578","Bos taurus",NA,NA,"missing",NA,"Japan","2015",NA,"missing",2015,"plasmid",NA
"NZ_AP023311.1","SAMD00234670","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4596","Bos taurus",NA,NA,"missing",NA,"Japan","2016",NA,"missing",2016,"chromosome",NA
"NZ_AP023314.1","SAMD00234679","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4605","Bos taurus",NA,NA,"missing",NA,"Japan","2016",NA,"missing",2016,"plasmid",NA
"NZ_AP023315.1","SAMD00234684","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4614","Bos taurus",NA,NA,"missing",NA,"Japan","2013",NA,"missing",2013,"chromosome",NA
"NZ_AP023316.1","SAMD00234684","Salmonella enterica subsp. enterica serovar 4,[5],12:i:-",NA,"L-4614","Bos taurus",NA,NA,"missing",NA,"Japan","2013",NA,"missing",2013,"plasmid",NA
